Recruiting_Year,Season_Years,Season,Recruiting_Rank,Team,Full_Program_Name,Top_100_Commits,Conference,Highest_Ranked_Commit_Name,Commit_Rank,Commit_Position_Short,Commit_Position,Key_Player_Features,team_canonical,program_name_canonical,feature_text_clean,season,recruiting_year,height_ft,height_inches,is_point_guard,is_guard,is_wing,is_forward,is_center,is_big,is_wing_or_forward,strength_shooting_3pt,strength_slashing_rim_pressure,strength_playmaking_passing,strength_rebounding,strength_defense,strength_versatility,strength_athleticism,strength_post_skill,strength_international_honors,primary_strength,secondary_strength,player_archetype,n_strength_flags,commit_rank_bucket
2026,2026-2027,2027.0,1,Texas,Texas Longhorns,4,SEC,Brihanna Crittendon,8,F,Forward,6-3 face-up forward with 3-point range and slashing ability; versatile blend of size and skill.,Texas,Texas Longhorns,6-3 face-up forward with 3-point range and slashing ability; versatile blend of size and skill.,2027,2026,6.25,75.0,False,False,False,True,False,False,True,True,True,False,False,False,True,False,True,False,shooting_3pt,slashing_rim_pressure,Shooting Wing,4,6-10
2026,2026-2027,2027.0,2,USC,USC Trojans,1,Big Ten,Saniyah Hall,1,G,Guard,"6-foot do-everything guard; MVP of U19 World Cup, scores from everywhere and an elite rebounder.",USC,USC Trojans,"6-foot do-everything guard; MVP of U19 World Cup, scores from everywhere and an elite rebounder.",2027,2026,6.0,72.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,rebounding,versatility,Guard,3,Top 5
2026,2026-2027,2027.0,3,Duke,Duke Blue Devils,4,ACC,Autumn Fleary,12,PG,Point Guard,5-7 point guard with old-school savvy; sharp handle and a knack for distribution.,Duke,Duke Blue Devils,5-7 point guard with old-school savvy; sharp handle and a knack for distribution.,2027,2026,5.583,67.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,Guard,0,11-20
2026,2026-2027,2027.0,4,South Carolina,South Carolina Gamecocks,3,SEC,Jerzy Robinson,5,G,Guard,Confrontational competitor; three-time gold medalist guard who lives at the free throw line.,South Carolina,South Carolina Gamecocks,Confrontational competitor; three-time gold medalist guard who lives at the free throw line.,2027,2026,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,Guard,0,Top 5
2026,2026-2027,2027.0,5,Notre Dame,Notre Dame Fighting Irish,5,ACC,Jacy Abii,9,"W,F","Wing,Forward",6-2 elite passer; can play wing or stretch four and score/attack rim from perimeter.,Notre Dame,Notre Dame Fighting Irish,6-2 elite passer; can play wing or stretch four and score/attack rim from perimeter.,2027,2026,6.167,74.0,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,slashing_rim_pressure,,Wing / Forward,1,6-10
2026,2026-2027,2027.0,6,Kentucky,Kentucky Wildcats,3,SEC,Maddyn Greenway,13,PG,Point Guard,Multi-sport star; scores in bunches from all three levels with an elite motor.,Kentucky,Kentucky Wildcats,Multi-sport star; scores in bunches from all three levels with an elite motor.,2027,2026,,,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,slashing_rim_pressure,,Scoring Guard,1,11-20
2026,2026-2027,2027.0,7,Clemson,Clemson Tigers,4,ACC,Trinity Jones,11,G,Guard,6-1 guard with explosive slashing ability to the rim; one of the class' elite talents.,Clemson,Clemson Tigers,6-1 guard with explosive slashing ability to the rim; one of the class' elite talents.,2027,2026,6.083,73.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,slashing_rim_pressure,athleticism,Scoring Guard,2,11-20
2026,2026-2027,2027.0,8,Indiana,Indiana Hoosiers,3,Big Ten,Addison Nyemchek,28,W,Wing,"6-1 elite glue player; brings length, switchability, and a high basketball IQ.",Indiana,Indiana Hoosiers,"6-1 elite glue player; brings length, switchability, and a high basketball IQ.",2027,2026,6.083,73.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,,,Wing / Forward,0,21-35
2026,2026-2027,2027.0,9,UConn,UConn Huskies,1,Big East,Olivia Vukosa,3,"C,P","Center,Post","6-4 modern center; handles, shoots, and facilitates like a guard with international seasoning.",UConn,UConn Huskies,"6-4 modern center; handles, shoots, and facilitates like a guard with international seasoning.",2027,2026,6.333,76.0,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,,Big / Frontcourt,0,Top 5
2026,2026-2027,2027.0,10,Tennessee,Tennessee Lady Volunteers,2,SEC,Oliviyah Edwards,2,F,Forward,6-3 multifaceted forward; creates matchup problems as a face-up shooter or attacking off bounce.,Tennessee,Tennessee Lady Volunteers,6-3 multifaceted forward; creates matchup problems as a face-up shooter or attacking off bounce.,2027,2026,6.25,75.0,False,False,False,True,False,False,True,True,False,True,False,False,False,False,True,False,shooting_3pt,playmaking_passing,Shooting Wing,3,Top 5
2026,2026-2027,2027.0,11,North Carolina,North Carolina Tar Heels,2,ACC,Kate Harpring,4,PG,Point Guard,Aggressive scoring guard with broad frame; relentlessly attacks defenses with masterful pull-ups.,North Carolina,North Carolina Tar Heels,Aggressive scoring guard with broad frame; relentlessly attacks defenses with masterful pull-ups.,2027,2026,,,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,defense,,Guard,1,Top 5
2026,2026-2027,2027.0,12,Vanderbilt,Vanderbilt Commodores,2,SEC,Olivia Jones,14,G,Guard,5-11 quick guard; creates own offense and keeps defenses honest from deep range.,Vanderbilt,Vanderbilt Commodores,5-11 quick guard; creates own offense and keeps defenses honest from deep range.,2027,2026,5.917,71.0,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,shooting_3pt,playmaking_passing,Playmaking Guard,4,11-20
2026,2026-2027,2027.0,13,Florida State,Florida State Seminoles,3,ACC,Melissa Odom,21,F,Forward,Two-sport gamer with knack for reading floor; uses physicality in paint and has soft touch away.,Florida State,Florida State Seminoles,Two-sport gamer with knack for reading floor; uses physicality in paint and has soft touch away.,2027,2026,,,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,athleticism,,Wing / Forward,1,21-35
2026,2026-2027,2027.0,14,Maryland,Maryland Terrapins,2,Big Ten,Jordyn Jackson,7,G,Guard,6-1 major scoring threat; one of strongest guards in the country with a polished game.,Maryland,Maryland Terrapins,6-1 major scoring threat; one of strongest guards in the country with a polished game.,2027,2026,6.083,73.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,Guard,0,6-10
2026,2026-2027,2027.0,15,Nebraska,Nebraska Cornhuskers,3,Big Ten,Ashlyn Koupal,22,F,Forward,6-2 sharpshooting forward who spaces the floor well and fills multiple positional holes.,Nebraska,Nebraska Cornhuskers,6-2 sharpshooting forward who spaces the floor well and fills multiple positional holes.,2027,2026,6.167,74.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,,Wing / Forward,0,21-35
2026,2026-2027,2027.0,16,Oregon,Oregon Ducks,2,Big Ten,Brooklyn Haywood,26,G,Guard,5-9 combo guard with scoring mentality; high IQ and great assist-to-turnover ratio.,Oregon,Oregon Ducks,5-9 combo guard with scoring mentality; high IQ and great assist-to-turnover ratio.,2027,2026,5.75,69.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,Guard,0,21-35
2026,2026-2027,2027.0,17,Iowa,Iowa Hawkeyes,1,Big Ten,McKenna Woliczko,6,F,Forward,High-energy forward and relentless glass-cleaner; efficient scorer inside 15 feet.,Iowa,Iowa Hawkeyes,High-energy forward and relentless glass-cleaner; efficient scorer inside 15 feet.,2027,2026,,,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,rebounding,,Wing / Forward,1,6-10
